rang;name;nation;member_id;punkte
173;Emily BISCHOFF;GER;44448;36
173;Vrinda KONDAVEETI;SWE;29034;36
173;Maya ALDER;DEN;38898;36
176;Elitsa BOZHILOVA;BUL;42228;35
177;Raya ZLATEVA;BUL;13180;35
177;Buglem KALAYCI;TUR;39299;35
177;Nisanur GENCTURK;TUR;48861;35
180;Irma SUTEKOVA;SVK;32359;34
181;ŠáRka DVOŘÁKOVÁ;CZE;32773;34
181;Alicja KOKOT;POL;38425;34
181;Milena WROBEL;POL;23365;34
181;Pola BLAZUK;POL;39574;34
181;Oliwia JASZCZERSKA;POL;21725;34
181;Tereza ŠTĚRBOVÁ;CZE;25473;34
187;Ioli PAPAKYRIACOU;CYP;78317;30
187;Kirsika VAIDLA;EST;17060;30
187;Paula MEZALE;LAT;33844;30
187;Andzelina VINKLERE;LAT;31162;30
187;Mokshi RAJPUT;BEL;36803;30
187;Antonina ZYCH;POL;47771;30
187;Nadia MALLEIER;ITA;43877;30
187;Aleksandra VUCAN;BIH;46426;30
187;Laura LENCEVICA;LAT;36703;30
187;Alina MEIER;SUI;40110;30
187;Natasza CIESIELSKA;POL;45667;30
187;Michalina KURKOWSKA;POL;21237;30
187;Maja KOSAKOWSKA;POL;16026;30
187;Barbora SMÁHOVÁ;CZE;39391;30
187;Constanze THULL;GER;45740;30
202;Michelle CHEN;ENG;28611;30
202;Sandra PASTOR;ESP;23525;30
202;Vasilia DEMETRIOU;CYP;36158;30
202;Paraskevi NIKIFOROU;CYP;34500;30
202;Carla GRÄFE;GER;44545;30
202;Olivia KUGLEROVÁ;CZE;43182;30
202;Silvia VARGAS;ESP;33837;30
202;Lucia NOGUERA;ESP;26702;30
202;Dakshita GOYAT;NED;46575;30
202;Aadvika UMASHANKAR;SWE;43948;30
202;Marlena PUDLO;POL;43273;30
202;Mihaela RIKOVA;BUL;19962;30
214;Melissa MOTARD;FRA;33751;29
215;Laura WAUKMANN;AUT;49572;27
216;Athanasia IOANNIDI;GRE;49864;25
216;Lina SCHWOB;SUI;43030;25
216;Darena PAVLOVA;BUL;21922;25
216;Gabriela ZVAIGZNE;LAT;16771;25
216;Leone MARIE;FRA;28901;25
216;Eda ANLAYISLI;TUR;24520;25
222;Naja HORVAT;SLO;27503;25
222;Tetiana POPOVA;UKR;32001;25
222;Elija SUNKLADAITE;LTU;39625;25
222;Amalia Ioana VLAD;ROU;32409;25
222;Nathalie WITTENBROCK;GER;35475;25
222;Emilia VAZOURA;CYP;35499;25
222;Eliza DUTU;ROU;23428;25
229;Sophie DELARUE;BEL;22339;24
229;Zuzanna BARAN;POL;36839;24
229;Lucie BEDNÁŘOVÁ;CZE;27665;24
229;Nikol PATEROVÁ;CZE;34741;24
229;Merrysa NAHDAWI;ITA;17350;24
229;Leona Carolin FRIMMEL;GER;45817;24
229;Anna STOCH;POL;29206;24
229;Mylie JOURDAN;FRA;19236;24
229;Mahonie PLANTEFEVE;FRA;31516;24
229;Eloise POULY;FRA;41791;24
229;Natalia HALADUS;POL;19924;24
229;Lisa TSCHIMBEN;ITA;48927;24
229;Laura GRILLO;ITA;24482;24
229;Thea SIKOROVÁ;CZE;29110;24
243;Bianka ROZSA;HUN;34457;21
243;Bianca Elena ISTRATE;ROU;16878;21
243;Eva Julija SMOLČNIK;SLO;29978;21
243;ŽIva STROPNIK;SLO;16380;21
247;Evelina FREIJA;LAT;64915;20
